# Px, Py, Pz
2.422440 -3.512880 -3.325980
2.185960 -4.257920 -0.814118
0.155541 -3.988370 -1.790130
2.033820 -4.384640 -1.404470
1.803690 -4.876660 -0.962449
0.357687 -3.391670 -0.142397
1.451090 -2.207570 -0.817940
1.892670 -2.759370 -0.439056
0.170365 -2.973390 -1.029410
-0.743769 -2.756810 -0.209787
-1.027290 -3.368360 -1.200620
-0.262756 -3.362860 -0.631044
-0.806502 -1.989750 -0.910750
0.606452 -1.379050 -0.780647
0.519149 -1.692240 -0.105948
-0.206394 -1.107820 -0.077553
0.912020 0.139429 -0.855655
1.600270 -0.361505 0.156809
0.575090 0.085608 0.337762
1.842690 -0.207249 0.048317
0.973047 -0.151716 -0.454741
0.322935 0.286485 -0.161900
1.574000 0.181390 -0.318693
0.909475 1.053990 0.623833
1.194690 0.352186 1.056110
1.326060 1.664690 0.546285
0.771314 0.426341 0.970084
0.332262 1.335400 0.448381
0.884478 1.715980 -1.226900
-1.298940 0.801405 -1.002700
-0.265299 0.958218 -0.320825
-1.088740 0.538641 -0.065268
-0.029237 -0.786573 0.210631
-0.846746 -0.348790 1.061610
0.938288 -1.565950 0.848873
0.817512 -1.973650 0.419564
0.348369 -1.358280 0.450493
1.529490 -1.860480 0.804788
0.942953 -0.842513 0.490345
1.434990 -1.268010 0.783179
1.184520 -0.704351 1.386670
2.314800 -0.763686 -0.069932
2.777160 -0.611965 0.388205
1.091710 -2.088920 1.304450
2.035930 -1.716380 0.200463
1.476940 -2.758080 0.515343
0.442868 -2.805560 -0.397954
0.665362 -2.660200 0.076286
0.843782 -2.922520 0.733174
0.280555 -0.895072 1.902860
0.904392 -1.192990 -0.040254
1.326070 -1.588400 1.121810
0.716221 -1.157400 -0.044926
1.405750 0.071197 1.393450
1.835910 0.819208 0.689111
0.923452 1.973640 0.905230
1.597300 1.944830 1.839710
0.044497 1.407860 1.468470
1.814290 0.690798 0.705630
1.560420 0.417870 1.815140
0.989991 0.013564 1.261230
1.598570 0.730211 1.816840
1.215880 1.240890 2.638990
0.926423 -0.066110 3.029750
0.684432 0.471683 1.879550
1.459150 0.387777 1.734190
2.258000 0.929391 1.698590
2.602980 0.983643 1.031530
2.746660 0.537806 0.860313
3.078060 0.582305 0.841247
4.081620 1.136630 1.452780
4.483810 1.321840 0.420406
3.314970 1.017550 0.623409
3.626030 1.217140 0.936175
3.231050 0.313619 -0.067802
3.589590 -0.254278 0.533561
2.220290 0.197068 -0.483977
